Neighborhood,ZIP code,Number of households,Population,Households with one or more people 65 years and over,Households with one or more people under 18 years,Population with Bachelor's degree or higher,Median household income (in US dollars),Households with no vehicles,Households with 1+ vehicles,"Proportion of developed, open space in neighborhood�"
Downtown / South Main Arts District / South Bluffs,38103,8020,11816,922,630,7089,75763,372,7648,0.0451
Lakeland / Arlington / Brunswick,38002,15152,43688,4574,6237,13423,115478,331,14821,0.0596
Collierville / Piperton,38017,19969,56225,5960,7800,22800,135946,440,19529,0.0888
"Cordova, Zipcode 1",38016,18365,44274,4574,4789,12627,75719,694,17671,0.1602
"Cordova, Zipcode 2",38018,14215,37996,3451,4451,11869,89627,308,13907,0.1981
Hickory Withe,38028,2709,7699,1066,976,2344,150847,630,2655,0.0566
Oakland,38060,4903,12360,1699,1511,2685,84277,331,4690,0.0578
Rossville,38066,1450,3706,689,330,956,105282,162,1374,0.0238
East Midtown / Central Gardens / Cooper Young,38104,12946,22121,2789,1798,9336,56452,1517,11429,0.1998
Uptown / Pinch District,38105,3241,4961,724,426,898,29316,840,2401,0.1004
South Memphis,38106,9126,21702,3319,1783,1831,29818,1656,7470,0.1047
North Memphis / Snowden / New Chicago,38107,6659,14001,1632,1455,2429,36393,1153,5506,0.2102
Hollywood / Hyde Park / Nutbush,38108,6569,18425,2205,2171,1211,35435,1138,5431,0.1728
Coro Lake / White Haven,38109,16706,43639,6803,4677,4111,36934,2183,14523,0.1171
East Memphis � Colonial Yorkshire,38111,17866,42061,4830,3876,10366,52806,2331,15535,0.4575
Midtown / Evergreen / Overton Square,38112,6554,15107,1972,1630,3858,52639,1080,5474,0.2764
East Memphis,38117,11393,26258,3711,3025,11371,93688,361,11032,0.4829
Windyke / Southwind,38125,15549,42732,2931,5119,10103,83184,324,15225,0.1969
South Forum / Washington Heights,38126,2698,5456,692,993,456,30825,722,1976,0.1165
Frayser,38127,14183,39404,3990,5371,2687,37768,1774,12409,0.1277
Egypt / Raleigh,38128,16131,43701,3764,6065,3893,43166,1818,14313,0.1855
"Bartlett, Zipcode 1",38133,8047,20900,1777,2896,4537,82485,293,7754,0.2037
"Bartlett, Zipcode 2",38134,14698,38849,3553,4867,5793,61172,902,13796,0.2278
"Bartlett, Zipcode 3",38135,10925,30284,3377,3392,8174,92458,428,10497,0.2763
"Germantown, Zipcode 1",38138,10232,25171,4728,3184,12204,130125,656,9576,0.3539
"Germantown, Zipcode 2",38139,5780,16298,2289,2286,8168,174052,89,5691,0.3305
South Riverdale,38141,8030,23768,1490,3303,2368,64050,317,7713,0.1302
